=== Wed Apr 23 22:35:31 2025

=== Wed Apr 23 22:35:36 2025
PID: 47056 | Name: node | CPU: 0.33% | MEM: 3.77%
PID: 38380 | Name: node | CPU: 0.08% | MEM: 0.89%
PID: 49810 | Name: main | CPU: 0.08% | MEM: 0.05%
PID: 47035 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 44949 | Name: node | CPU: 0.00% | MEM: 0.74%
PID: 44956 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 44957 | Name: Relay(44958) | CPU: 0.00% | MEM: 0.00%
PID: 44958 | Name: node | CPU: 0.00% | MEM: 0.64%
PID: 44965 | Name: node | CPU: 0.00% | MEM: 3.13%
PID: 44976 | Name: node | CPU: 0.00% | MEM: 0.73%
PID: 45003 | Name: node | CPU: 0.00% | MEM: 0.66%
PID: 45056 | Name: bash | CPU: 0.00% | MEM: 0.07%
PID: 45077 | Name: cpptools | CPU: 0.00% | MEM: 0.47%
PID: 46332 | Name: cpptools-srv | CPU: 0.00% | MEM: 0.55%
PID: 47026 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 47027 | Name: Relay(47028) | CPU: 0.00% | MEM: 0.00%
PID: 47028 | Name: node | CPU: 0.00% | MEM: 0.74%
PID: 44946 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 47036 | Name: Relay(47037) | CPU: 0.00% | MEM: 0.00%
PID: 47037 | Name: node | CPU: 0.00% | MEM: 0.63%
PID: 47044 | Name: node | CPU: 0.00% | MEM: 0.74%
PID: 47088 | Name: node | CPU: 0.00% | MEM: 0.66%
PID: 47142 | Name: cpptools | CPU: 0.00% | MEM: 0.70%
PID: 47733 | Name: packagekitd | CPU: 0.00% | MEM: 0.26%
PID: 48310 | Name: bash | CPU: 0.00% | MEM: 0.07%
PID: 49533 | Name: cpptools-srv | CPU: 0.00% | MEM: 2.31%
PID: 49856 | Name: sh | CPU: 0.00% | MEM: 0.01%
PID: 49857 | Name: cpuUsage.sh | CPU: 0.00% | MEM: 0.04%
PID: 49861 | Name: sleep | CPU: 0.00% | MEM: 0.01%
PID: 221 | Name: agetty | CPU: 0.00% | MEM: 0.01%
PID: 2 | Name: init-systemd(Ub | CPU: 0.00% | MEM: 0.03%
PID: 7 | Name: init | CPU: 0.00% | MEM: 0.00%
PID: 58 | Name: systemd-journal | CPU: 0.00% | MEM: 0.19%
PID: 89 | Name: systemd-udevd | CPU: 0.00% | MEM: 0.08%
PID: 106 | Name: systemd-resolve | CPU: 0.00% | MEM: 0.17%
PID: 107 | Name: systemd-timesyn | CPU: 0.00% | MEM: 0.08%
PID: 179 | Name: cron | CPU: 0.00% | MEM: 0.03%
PID: 181 | Name: dbus-daemon | CPU: 0.00% | MEM: 0.06%
PID: 186 | Name: networkd-dispat | CPU: 0.00% | MEM: 0.24%
PID: 187 | Name: rsyslogd | CPU: 0.00% | MEM: 0.09%
PID: 190 | Name: systemd-logind | CPU: 0.00% | MEM: 0.10%
PID: 192 | Name: udisksd | CPU: 0.00% | MEM: 0.16%
PID: 218 | Name: agetty | CPU: 0.00% | MEM: 0.01%
PID: 44947 | Name: Relay(44949) | CPU: 0.00% | MEM: 0.00%
PID: 227 | Name: polkitd | CPU: 0.00% | MEM: 0.12%
PID: 232 | Name: unattended-upgr | CPU: 0.00% | MEM: 0.27%
PID: 309 | Name: login | CPU: 0.00% | MEM: 0.06%
PID: 376 | Name: systemd | CPU: 0.00% | MEM: 0.12%
PID: 377 | Name: (sd-pam) | CPU: 0.00% | MEM: 0.04%
PID: 406 | Name: bash | CPU: 0.00% | MEM: 0.06%
PID: 32040 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 32041 | Name: Relay(32042) | CPU: 0.00% | MEM: 0.00%
PID: 32042 | Name: sh | CPU: 0.00% | MEM: 0.01%
PID: 32043 | Name: sh | CPU: 0.00% | MEM: 0.01%
PID: 32048 | Name: sh | CPU: 0.00% | MEM: 0.01%
PID: 32052 | Name: node | CPU: 0.00% | MEM: 1.47%
PID: 1 | Name: systemd | CPU: 0.00% | MEM: 0.15%

=== Wed Apr 23 22:35:41 2025
PID: 38380 | Name: node | CPU: 0.08% | MEM: 0.88%
PID: 44965 | Name: node | CPU: 0.08% | MEM: 3.13%
PID: 47036 | Name: Relay(47037) | CPU: 0.00% | MEM: 0.00%
PID: 44956 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 44957 | Name: Relay(44958) | CPU: 0.00% | MEM: 0.00%
PID: 44958 | Name: node | CPU: 0.00% | MEM: 0.64%
PID: 44976 | Name: node | CPU: 0.00% | MEM: 0.73%
PID: 45003 | Name: node | CPU: 0.00% | MEM: 0.66%
PID: 45056 | Name: bash | CPU: 0.00% | MEM: 0.07%
PID: 45077 | Name: cpptools | CPU: 0.00% | MEM: 0.47%
PID: 46332 | Name: cpptools-srv | CPU: 0.00% | MEM: 0.55%
PID: 47026 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 47027 | Name: Relay(47028) | CPU: 0.00% | MEM: 0.00%
PID: 47028 | Name: node | CPU: 0.00% | MEM: 0.74%
PID: 47035 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 44947 | Name: Relay(44949) | CPU: 0.00% | MEM: 0.00%
PID: 47037 | Name: node | CPU: 0.00% | MEM: 0.63%
PID: 47044 | Name: node | CPU: 0.00% | MEM: 0.74%
PID: 47056 | Name: node | CPU: 0.00% | MEM: 3.76%
PID: 47088 | Name: node | CPU: 0.00% | MEM: 0.66%
PID: 47142 | Name: cpptools | CPU: 0.00% | MEM: 0.70%
PID: 47733 | Name: packagekitd | CPU: 0.00% | MEM: 0.26%
PID: 48310 | Name: bash | CPU: 0.00% | MEM: 0.07%
PID: 49533 | Name: cpptools-srv | CPU: 0.00% | MEM: 2.31%
PID: 49810 | Name: main | CPU: 0.00% | MEM: 0.05%
PID: 49879 | Name: systemd-udevd | CPU: 0.00% | MEM: 0.05%
PID: 49880 | Name: systemd-udevd | CPU: 0.00% | MEM: 0.04%
PID: 49903 | Name: sh | CPU: 0.00% | MEM: 0.01%
PID: 49904 | Name: cpuUsage.sh | CPU: 0.00% | MEM: 0.04%
PID: 49908 | Name: sleep | CPU: 0.00% | MEM: 0.01%
PID: 227 | Name: polkitd | CPU: 0.00% | MEM: 0.12%
PID: 2 | Name: init-systemd(Ub | CPU: 0.00% | MEM: 0.03%
PID: 7 | Name: init | CPU: 0.00% | MEM: 0.00%
PID: 58 | Name: systemd-journal | CPU: 0.00% | MEM: 0.19%
PID: 89 | Name: systemd-udevd | CPU: 0.00% | MEM: 0.08%
PID: 106 | Name: systemd-resolve | CPU: 0.00% | MEM: 0.17%
PID: 107 | Name: systemd-timesyn | CPU: 0.00% | MEM: 0.08%
PID: 179 | Name: cron | CPU: 0.00% | MEM: 0.03%
PID: 181 | Name: dbus-daemon | CPU: 0.00% | MEM: 0.06%
PID: 186 | Name: networkd-dispat | CPU: 0.00% | MEM: 0.24%
PID: 187 | Name: rsyslogd | CPU: 0.00% | MEM: 0.09%
PID: 190 | Name: systemd-logind | CPU: 0.00% | MEM: 0.10%
PID: 192 | Name: udisksd | CPU: 0.00% | MEM: 0.16%
PID: 218 | Name: agetty | CPU: 0.00% | MEM: 0.01%
PID: 221 | Name: agetty | CPU: 0.00% | MEM: 0.01%
PID: 44949 | Name: node | CPU: 0.00% | MEM: 0.74%
PID: 232 | Name: unattended-upgr | CPU: 0.00% | MEM: 0.27%
PID: 309 | Name: login | CPU: 0.00% | MEM: 0.06%
PID: 376 | Name: systemd | CPU: 0.00% | MEM: 0.12%
PID: 377 | Name: (sd-pam) | CPU: 0.00% | MEM: 0.04%
PID: 406 | Name: bash | CPU: 0.00% | MEM: 0.06%
PID: 32040 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 32041 | Name: Relay(32042) | CPU: 0.00% | MEM: 0.00%
PID: 32042 | Name: sh | CPU: 0.00% | MEM: 0.01%
PID: 32043 | Name: sh | CPU: 0.00% | MEM: 0.01%
PID: 32048 | Name: sh | CPU: 0.00% | MEM: 0.01%
PID: 32052 | Name: node | CPU: 0.00% | MEM: 1.47%
PID: 44946 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 1 | Name: systemd | CPU: 0.00% | MEM: 0.15%

=== Wed Apr 23 22:35:46 2025
PID: 47056 | Name: node | CPU: 0.17% | MEM: 3.76%
PID: 47028 | Name: node | CPU: 0.08% | MEM: 0.75%
PID: 38380 | Name: node | CPU: 0.08% | MEM: 0.89%
PID: 49810 | Name: main | CPU: 0.08% | MEM: 0.05%
PID: 32052 | Name: node | CPU: 0.08% | MEM: 1.48%
PID: 44965 | Name: node | CPU: 0.00% | MEM: 3.12%
PID: 47026 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 46332 | Name: cpptools-srv | CPU: 0.00% | MEM: 0.55%
PID: 45077 | Name: cpptools | CPU: 0.00% | MEM: 0.47%
PID: 45056 | Name: bash | CPU: 0.00% | MEM: 0.07%
PID: 45003 | Name: node | CPU: 0.00% | MEM: 0.66%
PID: 44976 | Name: node | CPU: 0.00% | MEM: 0.73%
PID: 44949 | Name: node | CPU: 0.00% | MEM: 0.74%
PID: 44958 | Name: node | CPU: 0.00% | MEM: 0.64%
PID: 44957 | Name: Relay(44958) | CPU: 0.00% | MEM: 0.00%
PID: 44956 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 44946 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 47027 | Name: Relay(47028) | CPU: 0.00% | MEM: 0.00%
PID: 47035 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 47036 | Name: Relay(47037) | CPU: 0.00% | MEM: 0.00%
PID: 47037 | Name: node | CPU: 0.00% | MEM: 0.63%
PID: 47044 | Name: node | CPU: 0.00% | MEM: 0.74%
PID: 47088 | Name: node | CPU: 0.00% | MEM: 0.66%
PID: 47142 | Name: cpptools | CPU: 0.00% | MEM: 0.70%
PID: 47733 | Name: packagekitd | CPU: 0.00% | MEM: 0.26%
PID: 48310 | Name: bash | CPU: 0.00% | MEM: 0.07%
PID: 49533 | Name: cpptools-srv | CPU: 0.00% | MEM: 2.31%
PID: 49952 | Name: sh | CPU: 0.00% | MEM: 0.01%
PID: 49953 | Name: cpuUsage.sh | CPU: 0.00% | MEM: 0.04%
PID: 49957 | Name: sleep | CPU: 0.00% | MEM: 0.01%
PID: 221 | Name: agetty | CPU: 0.00% | MEM: 0.01%
PID: 2 | Name: init-systemd(Ub | CPU: 0.00% | MEM: 0.03%
PID: 7 | Name: init | CPU: 0.00% | MEM: 0.00%
PID: 58 | Name: systemd-journal | CPU: 0.00% | MEM: 0.19%
PID: 89 | Name: systemd-udevd | CPU: 0.00% | MEM: 0.08%
PID: 106 | Name: systemd-resolve | CPU: 0.00% | MEM: 0.17%
PID: 107 | Name: systemd-timesyn | CPU: 0.00% | MEM: 0.08%
PID: 179 | Name: cron | CPU: 0.00% | MEM: 0.03%
PID: 181 | Name: dbus-daemon | CPU: 0.00% | MEM: 0.06%
PID: 186 | Name: networkd-dispat | CPU: 0.00% | MEM: 0.24%
PID: 187 | Name: rsyslogd | CPU: 0.00% | MEM: 0.09%
PID: 190 | Name: systemd-logind | CPU: 0.00% | MEM: 0.10%
PID: 192 | Name: udisksd | CPU: 0.00% | MEM: 0.16%
PID: 218 | Name: agetty | CPU: 0.00% | MEM: 0.01%
PID: 44947 | Name: Relay(44949) | CPU: 0.00% | MEM: 0.00%
PID: 227 | Name: polkitd | CPU: 0.00% | MEM: 0.12%
PID: 232 | Name: unattended-upgr | CPU: 0.00% | MEM: 0.27%
PID: 309 | Name: login | CPU: 0.00% | MEM: 0.06%
PID: 376 | Name: systemd | CPU: 0.00% | MEM: 0.12%
PID: 377 | Name: (sd-pam) | CPU: 0.00% | MEM: 0.04%
PID: 406 | Name: bash | CPU: 0.00% | MEM: 0.06%
PID: 32040 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 32041 | Name: Relay(32042) | CPU: 0.00% | MEM: 0.00%
PID: 32042 | Name: sh | CPU: 0.00% | MEM: 0.01%
PID: 32043 | Name: sh | CPU: 0.00% | MEM: 0.01%
PID: 32048 | Name: sh | CPU: 0.00% | MEM: 0.01%
PID: 1 | Name: systemd | CPU: 0.00% | MEM: 0.15%

=== Wed Apr 23 22:35:51 2025
PID: 44965 | Name: node | CPU: 0.33% | MEM: 3.12%
PID: 38380 | Name: node | CPU: 0.17% | MEM: 0.89%
PID: 47056 | Name: node | CPU: 0.17% | MEM: 3.76%
PID: 47035 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 44949 | Name: node | CPU: 0.00% | MEM: 0.74%
PID: 44956 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 44957 | Name: Relay(44958) | CPU: 0.00% | MEM: 0.00%
PID: 44958 | Name: node | CPU: 0.00% | MEM: 0.64%
PID: 44976 | Name: node | CPU: 0.00% | MEM: 0.73%
PID: 45003 | Name: node | CPU: 0.00% | MEM: 0.66%
PID: 45056 | Name: bash | CPU: 0.00% | MEM: 0.07%
PID: 45077 | Name: cpptools | CPU: 0.00% | MEM: 0.47%
PID: 46332 | Name: cpptools-srv | CPU: 0.00% | MEM: 0.55%
PID: 47026 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 47027 | Name: Relay(47028) | CPU: 0.00% | MEM: 0.00%
PID: 47028 | Name: node | CPU: 0.00% | MEM: 0.75%
PID: 44946 | Name: SessionLeader | CPU: 0.00% | MEM: 0.00%
PID: 47036 | Name: Relay(47037) | CPU: 0.00% | MEM: 0.00%
PID: 47037 | Name: node | CPU: 0.00% | MEM: 0.63%
PID: 47044 | Name: node | CPU: 0.00% | MEM: 0.74%
PID: 47088 | Name: node | CPU: 0.00% | MEM: 0.66%
PID: 47142 | Name: cpptools | CPU: 0.00% | MEM: 0.70%
PID: 47733 | Name: packagekitd | CPU: 0.00% | MEM: 0.26%
PID: 48310 | Name: bash | CPU: 0.00% | MEM: 0.07%
PID: 49533 | Name: cpptools-srv | CPU: 0.00% | MEM: 2.31%
